city,classification
KLERKSDORP CENTRAL,OUTLYING
KLIPFONTEIN,OUTLYING
KLIPFONTEIN WITBANK,OUTLYING
KLIPFONTEIN VIEW,OUTLYING
KLIPOORTJIE,LOCAL
KLIPTOWN,LOCAL
KLOOFMALL,LOCAL
KNIGHTS,LOCAL
KOKSTAD,OUTLYING
KOMATIPOORT,OUTLYING
Korsten,MAIN
KOSTER,OUTLYING
KRAAIFONTEIN,MAIN
KRIEL,OUTLYING
KROONSTAD,OUTLYING
KRUGERSDORP,OUTLYING
Krugersdorp West,OUTLYING
KUILSRIVER,LOCAL
KURUMAN,OUTLYING
KWA GUQA,OUTLYING
KWA MASHU,OUTLYING
KWA MHLANGA,OUTLYING
KWA ZULU NATAL,N/A
KWAGGAFONTEIN,OUTLYING
KWA-THEMA,OUTLYING
KWA-THEMA SQUARE,OUTLYING
KWAZULU NATAL,N/A
KWAZUMA,OUTLYING
KYA SANDS,LOCAL
KZN,N/A
LA MONTAGNE,LOCAL
LA ROCHELLE,LOCAL
LAAIPLEK,OUTLYING
LABORE,LOCAL
LABORIA,N/A
LADANNA,OUTLYING
LADINE,MAIN
LADYBRAND,OUTLYING
LADYSMITH,OUTLYING
LAFRENZ,N/A
LAKEVIEW ESTATE,LOCAL
LANDSDOWNE,LOCAL
LANSDOWNE,LOCAL
LASER PARK,LOCAL
LAUDIUM,LOCAL
LAWLEY 2,OUTLYING
LEANDRA,OUTLYING
LEBOWAKGOMO,OUTLYING
LEDIG,OUTLYING
LEDIG 4 WAY STOP,OUTLYING
LEFISWANE,OUTLYING
LEKWADI SECTION 1,OUTLYING
LENASIA,LOCAL
Lenasia Ext 1,LOCAL
LENASIA SOUTH,LOCAL
LENASIA SOUTH EXT 1,LOCAL
LEONDALE,LOCAL
LEPHALALE,OUTLYING
LERIBE,N/A
LESOTHO,N/A
LETABA,OUTLYING
LETEBEJANE,OUTLYING
LETHLAKENG,N/A
LICHTENBURG,OUTLYING
LIEDERSFORT,N/A
LIHAWU,N/A
LIMEACRES,OUTLYING
LIMPOPO,N/A
LINBRO PARK,LOCAL
LITTLE FALLS,LOCAL
LITTLE FALLS EXT 2,LOCAL
LONLY PARK,LOCAL
LOUIS TRICHARDT,OUTLYING
LUCAS MANGOPE HIGHWAY,LOCAL
LUDLAWINI TRUST,N/A
LUIPAARDSVLEI,LOCAL
LUKA,OUTLYING
Luka Village,OUTLYING
LUKAS MANGOPE HIGHWAY,LOCAL
LYDENBURG,OUTLYING
LYNDHURST,LOCAL
LYNNVILLE,LOCAL
LYTTLETON,LOCAL
M21 RAMOGODI,LOCAL
MAAKE- OPPOSITE MAAKE PLAZA,OUTLYING
MAAKE PLAZA,OUTLYING
MAAKE PLAZA RITA,OUTLYING
MABESKRAAL,N/A
MABOLOKA,OUTLYING
MABOPANE,OUTLYING
MABOPANE CROSSING OPPOSITE,LOCAL
MAFETENG,OUTLYING
MAFIIKENG,OUTLYING
MAFIKENG,OUTLYING
