element,weight_band,price
22,8 to < 10,210.07
22,10 to < 20,271.8
22,20 to < 40,362.68
22,40 to < 60,481
22,60 to < 80,636.19
22,80 to < 100,770.8
22,100 to < 150,1053.74
22,150 to < 200,1462.73
22,200 to < 250,1828.84
22,250 to < 300,2248.1
22,300 to < 350,2672.51
23,1 to < 2,174.02
23,2 to < 4,179.12
23,4 to < 6,190.15
23,6 to < 8,207.13
23,8 to < 10,222.41
23,10 to < 20,291.17
23,20 to < 40,392.19
23,40 to < 60,506.8
23,60 to < 80,652.81
23,80 to < 100,787.79
23,100 to < 150,1082.36
23,150 to < 200,1500.02
23,200 to < 250,1867.6
23,250 to < 300,2299.69
23,300 to < 350,2735.18
24,1 to < 2,186.76
24,2 to < 4,193.55
24,4 to < 6,205.44
24,6 to < 8,218.17
24,8 to < 10,234.31
24,10 to < 20,303.05
24,20 to < 40,411.72
24,40 to < 60,537.35
24,60 to < 80,676.58
24,80 to < 100,812.4
24,100 to < 150,1123.94
24,150 to < 200,1552.64
24,200 to < 250,1934.65
24,250 to < 300,2372.7
24,300 to < 350,2826.86
25,1 to < 2,193.55
25,2 to < 4,212.23
25,4 to < 6,236.84
25,6 to < 8,251.28
25,8 to < 10,267.41
25,10 to < 20,309
25,20 to < 40,425.31
25,40 to < 60,553.48
25,60 to < 80,701.2
25,80 to < 100,839.57
25,100 to < 150,1167.25
25,150 to < 200,1607.83
25,200 to < 250,2063.7
25,250 to < 300,2517.86
25,300 to < 350,2973.72
26,1 to < 2,226.66
26,2 to < 4,247.04
26,4 to < 6,278.44
26,6 to < 8,292.87
26,8 to < 10,309
26,10 to < 20,352.3
26,20 to < 40,438.04
26,40 to < 60,586.6
26,60 to < 80,729.21
26,80 to < 100,892.2
26,100 to < 150,1219.88
26,150 to < 200,1708.85
26,200 to < 250,2192.72
26,250 to < 300,2675.75
26,300 to < 350,3159.63
27,1 to < 2,242.8
27,2 to < 4,266.55
27,4 to < 6,295.42
27,6 to < 8,319.19
27,8 to < 10,342.11
27,10 to < 20,365.03
27,20 to < 40,464.35
27,40 to < 60,612.91
27,60 to < 80,759.77
27,80 to < 100,932.95
27,100 to < 150,1309.87
27,150 to < 200,1801.38
27,200 to < 250,2309.89
27,250 to < 300,2820.92
27,300 to < 350,3329.42
28,1 to < 2,275.05
28,2 to < 4,297.97
28,4 to < 6,326.83
28,6 to < 8,348.05
28,8 to < 10,370.13
28,10 to < 20,390.5
28,20 to < 40,476.24
28,40 to < 60,640.93
28,60 to < 80,797.98
28,80 to < 100,978.79
28,100 to < 150,1365.89
28,150 to < 200,1912.58
28,200 to < 250,2453.35
28,250 to < 300,2995.79
28,300 to < 350,3537.4
29,1 to < 2,280.99
29,2 to < 4,299.66
29,4 to < 6,328.52
29,6 to < 8,350.6
29,8 to < 10,377.77
29,10 to < 20,398.14
29,20 to < 40,491.51
29,40 to < 60,658.75
29,60 to < 80,815.8
29,80 to < 100,996.61
29,100 to < 150,1385.41
29,150 to < 200,1931.26
29,200 to < 250,2478.82
29,250 to < 300,3025.51
29,300 to < 350,3572.21
30,1 to < 2,286.07
30,2 to < 4,317.48
30,4 to < 6,365.03
30,6 to < 8,398.14
30,8 to < 10,427
30,10 to < 20,451.61
30,20 to < 40,501.71
30,40 to < 60,677.43
30,60 to < 80,833.63
30,80 to < 100,1011.9
30,100 to < 150,1411.73
30,150 to < 200,1972.01
30,200 to < 250,2531.44
30,250 to < 300,3089.17
30,300 to < 350,3647.75
