town_name,billing_town,zone,ops_branch
BUHRMANDRIFT,BRF,5,KPR
Buisfontein,HBR,2,KPR
Bukazi,FLG,5,ELS
Bukwana,ASK,8,BFN
Bula,NBE,2,ELS
Bulawayo,GAR,5,ELS
Bulembu,DBZ,3,ELS
Bulembu,FLG,5,ELS
Bulembu Farm,TSL,2,ELS
Bulhoek,TSK,6,ELS
Bull Run,LUW,8,KPR
Bulletrap,BPL,9,UTN
Bultfontein,BTN,4,BFN
Bultfontein,NML,6,PSH
Buluni,MLM,6,PTG
Bulura,ALC,4,ELS
Bulwer,BUW,4,DUR
Bulwer Station,BUW,4,DUR
Bulwini,MAV,5,PTG
Bumazi,HLC,5,PSH
Bumbana,ASK,8,BFN
Bumbana,LAH,9,BFN
Bumbane,KEK,4,ELS
Bumbani,NSL,6,PSH
Bumbeni,MFF,4,ELS
Bundu,DNN,4,WIR
Bungazeleni,NON,4,EMG
Buntingville,BTV,1,ELS
Burford,PPW,4,NCS
Burgerregt,DGR,5,PTG
Burgersdorp,BUP,7,BFN
Burgersdorp,OFL,5,PTG
Burgersfort,BGF,5,PTG
Burgervilleweg,BVR,6,CDO
Burlington,TML,4,NLP
Burnshill,MDT,4,ELS
Busila,QBQ,4,ELS
Busingatha,PJB,4,BEM
BUTHE BUTHE,BBE,4,MSU
Buto,NSL,6,PSH
Butsheni,MFF,4,ELS
Butterworth,BWH,4,ELS
Buttville,MGH,4,PSH
Butulo,NSL,6,PSH
Buwa,BYI,2,ELS
Buwa,QMB,3,ELS
Buwani,TNZ,5,ELS
Buxeden,HLB,4,EMG
Buyelani,KNM,2,NLP
Buysdorp,BYY,4,PTG
Byldrift,GPS,3,PTG
BYLSTEEL,BYS,2,PTG
Bynespoort,CUL,2,JNB
Byrne,RMD,3,DUR
Caba,BLE,5,ELS
Caba,NBE,2,ELS
Caba,NTS,4,ELS
Caba,TNZ,5,ELS
Cabane,UMZ,5,DUR
Cabane,MFF,4,ELS
Cabazana,BON,4,PSH
Cabazi,MFF,4,ELS
Caca,LAN,3,ELS
Cacadu,ROD,6,PSH
Cadlume,DDX,8,BFN
Cafutweni,IDY,4,ELS
Cahar,EWB,7,KIM
Cairngorm,DBK,4,DUR
Cairns,SAD,5,ELS
Cala,CAA,5,ELS
Cala Pass,QBA,8,BFN
Calais,OFL,5,PTG
Calcutta,MRI,3,NLP
Calderwood,FBF,5,ELS
Caledon,CLN,4,CPT
Caledon,HMG,4,PTG
Calitzdorp,CZR,4,GRJ
Callashield,BTK,4,PTG
Calucalu,LAH,9,BFN
Caluza,FXT,1,EMG
Calvinia,CLW,9,UTN
Camama,CVB,5,ELS
CAMBRIA,CAM,5,PLZ
Camden,HOL,5,WIR
Cameron's Glen,CMG,3,CDO
Camkweni,NGG,2,ELS
Campbell,CBL,4,KIM
Camperdown,HAE,2,DUR
Cancele,MFF,4,ELS
Candu,BXS,3,ELS
Cane,HLC,5,PSH
Cannonville,NCH,2,PLZ
Canon Rocks,BKS,4,PLZ
Canzibe,OLM,3,ELS
Cape Saint Francis,CSF,4,PLZ
Cape Town,CPT,1,CPT
Cardiff,STM,5,ELS
Carletonville,CAR,4,JNB
CARLISLE BRIDGE,CBE,4,CDO
Carnarvon,CVN,8,UTN
Carolina,CLA,4,WIR
Carolusberg,SPU,8,UTN
Carousel View,BBG,3,JNB
Carrington,BEL,3,ELS
Casa Mia,PGL,6,NCS
Cassel,LUW,8,KPR
Casteel,ACH,4,NLP
Castle Rock,STX,1,CPT
Cata,KEK,4,ELS
Cathcart,CHC,4,ELS
Cathcartvale,HGB,4,ELS
CATHEDRAL PEAK,CTP,5,NCS
Cathula,STF,3,PSH
Cato Ridge,HAE,2,DUR
Catshile,TSO,5,ELS
Caweni,HAD,9,BFN
Caweni,HGB,4,ELS
Cebano,SKT,6,BFN
Cebe,MNB,5,ELS
Cedara,HWR,3,DUR
Cedarville,CED,6,PSH
Cedarville,ROD,6,PSH
Cederberg,SED,7,CPT
Cefane,ENG,4,ELS
Cegcuwana,EZI,4,ELS
Cegcwane,BYI,2,ELS
Ceka,TSL,2,ELS
Cekeza,STF,3,PSH
Cele,SOG,3,DUR
Celetyuma,PDD,5,PLZ
Cencele,DDX,8,BFN
Centani,KTI,4,ELS
Centule,MFF,4,ELS
Centuli,KTI,4,ELS
Centurion,CNT,1,JNB
Ceres,CER,4,CPT
Ceru,BWH,4,ELS
Cerutiville,NLR,3,JNB
Ceyana,ASK,8,BFN
Ceza,NGM,5,EMG
Cezu,MAI,1,ELS
Chaewe,HWR,3,DUR
Chalumna,CHM,2,ELS
Chalumna,CHM,2,ELS
Chamounix Estate,RMD,3,DUR
Chancele,BTD,4,PSH
Chaneng,SUN,2,RTR
Charl Cilliers,CCI,4,WIR
Charlestown,VRR,2,NCS
Charlesville,JSN,4,BFN
Chatsworth,KBA,2,CPT
Chatsworth,CTW,1,DUR
Chatwell,HHR,4,DUR
Chelsea Mount,BHD,2,PLZ
Chevy Chase,LAH,9,BFN
Chibini,KTI,4,ELS
Chief Albert Luthuli Park,BNI,1,JNB
Chieveley,FRH,5,DUR
Chili,VAM,2,DUR
Chisira,PDD,5,PLZ
Chloe,MTA,2,PTG
Chochocho,THU,4,NLP
Choseng,PUD,5,KIM
Choto,FLG,5,ELS
Chrissiesmeer,CSS,4,WIR
Christiana,CSN,4,KIM
Christmas Rock,CHM,2,ELS
CHURCHHAVEN,CHN,2,VDR
Cibane,FNS,3,DUR
Cibelichle,BUW,4,DUR
Cibeni,NSL,6,PSH
