element,weight_band,price
17,15 to < 20,139.98
17,20 to < 25,160.91
17,25 to < 30,182.56
17,30 to < 35,202.04
17,35 to < 40,222.97
17,40 to < 45,247.5
17,45 to < 50,269.87
17,50 to < 60,306.67
17,60 to < 70,347.8
17,70 to < 80,391.81
17,80 to < 90,434.38
17,90 to < 100,479.84
17,100 to < 150,603.23
17,150 to < 200,867.32
17,200 to < 250,1113.38
17,250 to < 300,1316.87
17,300 to < 350,1558.6
18,1 to < 5,91.28
18,5 to < 10,101.98
18,10 to < 15,119.8
18,15 to < 20,144.04
18,20 to < 25,164.72
18,25 to < 30,184.69
18,30 to < 35,203.95
18,35 to < 40,224.61
18,40 to < 45,251.72
18,45 to < 50,281.66
18,50 to < 60,310.9
18,60 to < 70,353.69
18,70 to < 80,395.04
18,80 to < 90,440.69
18,90 to < 100,487.03
18,100 to < 150,616.1
18,150 to < 200,875.66
18,200 to < 250,1134.51
18,250 to < 300,1331.32
18,300 to < 350,1582.33
19,1 to < 5,94.41
19,5 to < 10,105.69
19,10 to < 15,124.71
19,15 to < 20,150.08
19,20 to < 25,169.8
19,25 to < 30,186.01
19,30 to < 35,205.04
19,35 to < 40,225.47
19,40 to < 45,255.06
19,45 to < 50,286.77
19,50 to < 60,314.95
19,60 to < 70,358.63
19,70 to < 80,400.92
19,80 to < 90,446.01
19,90 to < 100,495.33
19,100 to < 150,629.91
19,150 to < 200,884.27
19,200 to < 250,1154.83
19,250 to < 300,1347.17
19,300 to < 350,1607.18
20,1 to < 5,98.65
20,5 to < 10,112.73
20,10 to < 15,131.06
20,15 to < 20,157.82
20,20 to < 25,178.27
20,25 to < 30,194.47
20,30 to < 35,214.9
20,35 to < 40,232.52
20,40 to < 45,261.41
20,45 to < 50,295.23
20,50 to < 60,324.11
20,60 to < 70,369.2
20,70 to < 80,410.77
20,80 to < 90,457.99
20,90 to < 100,508.72
20,100 to < 150,651.04
20,150 to < 200,903.99
20,200 to < 250,1189.35
20,250 to < 300,1381
20,300 to < 350,1652.27
21,1 to < 5,106.39
21,5 to < 10,123.31
21,10 to < 15,142.33
21,15 to < 20,173.33
21,20 to < 25,191.65
21,25 to < 30,212.09
21,30 to < 35,231.8
21,35 to < 40,249.42
21,40 to < 45,269.15
21,45 to < 50,305.79
21,50 to < 60,333.98
21,60 to < 70,380.48
21,70 to < 80,421.34
21,80 to < 90,472.08
21,90 to < 100,524.22
21,100 to < 150,674.3
21,150 to < 200,922.31
21,200 to < 250,1225.28
21,250 to < 300,1414.82
21,300 to < 350,1697.36
22,1 to < 5,112.73
22,5 to < 10,131.06
22,10 to < 15,154.3
22,15 to < 20,192.35
22,20 to < 25,207.15
22,25 to < 30,231.11
22,30 to < 35,251.54
22,35 to < 40,271.28
22,40 to < 45,275.5
22,45 to < 50,317.77
22,50 to < 60,343.13
22,60 to < 70,390.34
22,70 to < 80,433.33
22,80 to < 90,485.46
22,90 to < 100,539.72
22,100 to < 150,698.26
22,150 to < 200,944.15
22,200 to < 250,1262.63
22,250 to < 300,1450.06
22,300 to < 350,1744.57
23,1 to < 5,120.48
23,5 to < 10,140.21
23,10 to < 15,162.76
23,15 to < 20,205.04
23,20 to < 25,224.06
23,25 to < 30,248.02
23,30 to < 35,270.55
23,35 to < 40,288.88
23,40 to < 45,308.62
23,45 to < 50,331.16
23,50 to < 60,354.41
23,60 to < 70,403.02
23,70 to < 80,445.31
23,80 to < 90,499.56
23,90 to < 100,555.92
23,100 to < 150,723.62
23,150 to < 200,964.59
23,200 to < 250,1299.28
23,250 to < 300,1487.39
23,300 to < 350,1792.48
24,1 to < 5,131.06
24,5 to < 10,152.2
24,10 to < 15,176.15
24,15 to < 20,209.27
24,20 to < 25,229.7
24,25 to < 30,250.84
24,30 to < 35,274.79
24,35 to < 40,298.04
24,40 to < 45,330.44
24,45 to < 50,349.48
24,50 to < 60,378.37
24,60 to < 70,417.12
24,70 to < 80,455.88
24,80 to < 90,515.76
24,90 to < 100,574.24
24,100 to < 150,751.8
24,150 to < 200,1014.62
24,200 to < 250,1338.73
24,250 to < 300,1590.97
24,300 to < 350,1879.15
25,1 to < 5,147.26
25,5 to < 10,169.8
25,10 to < 15,180.38
25,15 to < 20,213.49
25,20 to < 25,238.86
25,25 to < 30,260.71
25,30 to < 35,279.73
25,35 to < 40,310.73
25,40 to < 45,341.02
25,45 to < 50,364.99
25,50 to < 60,402.32
25,60 to < 70,441.77
25,70 to < 80,486.88
25,80 to < 90,535.48
25,90 to < 100,593.98
25,100 to < 150,779.99
25,150 to < 200,1083.67
25,200 to < 250,1392.98
25,250 to < 300,1700.88
25,300 to < 350,2008.79
26,1 to < 5,154.3
26,5 to < 10,181.78
26,10 to < 15,190.24
26,15 to < 20,224.77
26,20 to < 25,249.42
26,25 to < 30,276.91
26,30 to < 35,301.57
26,35 to < 40,335.38
26,40 to < 45,343.13
26,45 to < 50,374.14
26,50 to < 60,418.52
26,60 to < 70,465.74
26,70 to < 80,517.16
26,80 to < 90,570.72
26,90 to < 100,631.31
26,100 to < 150,814.51
26,150 to < 200,1141.44
26,200 to < 250,1466.95
26,250 to < 300,1791.07
26,300 to < 350,2115.19
