from_date,fin_network,division,branch_col,service_level,tarsrt,country,city,city2,from_postcode,thru_postcode,till_date,zone_code,remark,lookup,branch,zone
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahobieskraal,,,,2098-01-01 00:00:00,X2RSB,,Mahobieskraal,RSB,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahodini,,,,2098-01-01 00:00:00,X5ELS,,Mahodini,ELS,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Maholoholo,,,,2098-01-01 00:00:00,X6ZCK,,Maholoholo,ZCK,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahubahuba,,,,2098-01-01 00:00:00,X5NLP,,Mahubahuba,NLP,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahukubung,,,,2098-01-01 00:00:00,X5KXE,,Mahukubung,KXE,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahushu,,,,2098-01-01 00:00:00,X2NLP,,Mahushu,NLP,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Mahwibitswane,,,,2098-01-01 00:00:00,X2POL,,Mahwibitswane,POL,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Maila,,,,2098-01-01 00:00:00,X4POL,,Maila,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Maile,,,,2098-01-01 00:00:00,X2RSB,,Maile,RSB,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Maipase,,,,2098-01-01 00:00:00,X3ELS,,Maipase,ELS,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Maipeng,,,,2098-01-01 00:00:00,X5KXE,,Maipeng,KXE,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Maizefield,,,,2098-01-01 00:00:00,X4WIT,,Maizefield,WIT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Majamanini,,,,2098-01-01 00:00:00,X3ELS,,Majamanini,ELS,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Majaneng,,,,2098-01-01 00:00:00,X5KXE,,Majaneng,KXE,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Majantshi,,,,2098-01-01 00:00:00,X3UTT,,Majantshi,UTT,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Majavu,,,,2098-01-01 00:00:00,X4ZCK,,Majavu,ZCK,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Majazi,,,,2098-01-01 00:00:00,X3ZCK,,Majazi,ZCK,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Majeng,,,,2098-01-01 00:00:00,X5KXE,,Majeng,KXE,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Majolantaba,,,,2098-01-01 00:00:00,X7ZCK,,Majolantaba,ZCK,7
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Majuba,,,,2098-01-01 00:00:00,X3UTT,,Majuba,UTT,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Majuba Nek,,,,2098-01-01 00:00:00,X6BFN,,Majuba Nek,BFN,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Majulumani,,,,2098-01-01 00:00:00,X5UTT,,Majulumani,UTT,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Majwareni,,,,2098-01-01 00:00:00,X2UTT,,Majwareni,UTT,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Makadikwe,,,,2098-01-01 00:00:00,X4POL,,Makadikwe,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Makaka,,,,2098-01-01 00:00:00,X4UTT,,Makaka,UTT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Makambi,,,,2098-01-01 00:00:00,X4UTT,,Makambi,UTT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Makanyaneng,,,,2098-01-01 00:00:00,X3ZAY,,Makanyaneng,ZAY,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Makapanstad,Kwamotlhabaneng,,,2098-01-01 00:00:00,X3ZAY,,MakapanstadKwamotlhabaneng,ZAY,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Makapanstad,Makapanstad,,,2098-01-01 00:00:00,X3ZAY,,MakapanstadMakapanstad,ZAY,3
