orig_type,dest_type,type_lookup,sla_type,sla_type_code,route,tariff,c8,service,service_code,facility_type,route_band,route_type,lookup,sla_days,sla_text,c17,blns_service,blns_band,blns_code,blns_lookup,blns_sla,onx_lookup,onx_days,onx_sla
,,,,,CPT-PZB,5,,Economy,ECO,Regional Daily,5,Regional Daily,EconomyRegional Daily5,3,3 days by 17h00,,Economy,5,R,Economy-R5,4 days by 17h00,ECO-R5,4,4 days by 17h00
,,,,,CPT-VDB,6,,Economy,ECO,Regional Daily,6,Regional Daily,EconomyRegional Daily6,4,4 days by 17h00,,Economy,6,R,Economy-R6,4 days by 17h00,ECO-R6,4,4 days by 17h00
,,,,,CPT-WDH,9,,Economy,ECO,Regional Daily,7,Regional Daily,EconomyRegional Daily7,5,5 days by 17h00,,Economy,7,R,Economy-R7,5 days by 17h00,ECO-R7,5,5 days by 17h00
,,,,,CPT-WIR,6,,Economy,ECO,Regional Daily,8,Regional Daily,EconomyRegional Daily8,5,5 days by 17h00,,Economy,8,R,Economy-R8,5 days by 17h00,ECO-R8,5,5 days by 17h00
,,,,,DUR-BFN,3,,Economy,ECO,Regional Daily,9,Regional Daily,EconomyRegional Daily9,5,5 days by 17h00,,Economy,9,R,Economy-R9,5 days by 17h00,ECO-R9,5,5 days by 17h00
,,,,,DUR-CPT,5,,Economy,ECO,Regional Bi-weekly,1,Regional Bi-weekly,EconomyRegional Bi-weekly1,3,3 days by 17h00,,Economy,1,O,Economy-O1,3 days by 17h00,ECO-O1,3,3 days by 17h00
,,,,,DUR-DUR,1,,Economy,ECO,Regional Bi-weekly,2,Regional Bi-weekly,EconomyRegional Bi-weekly2,4,4 days by 17h00,,Economy,2,O,Economy-O2,4 days by 17h00,ECO-O2,4,4 days by 17h00
,,,,,DUR-ELS,5,,Economy,ECO,Regional Bi-weekly,3,Regional Bi-weekly,EconomyRegional Bi-weekly3,4,4 days by 17h00,,Economy,3,O,Economy-O3,4 days by 17h00,ECO-O3,4,4 days by 17h00
,,,,,DUR-EMG,2,,Economy,ECO,Regional Bi-weekly,4,Regional Bi-weekly,EconomyRegional Bi-weekly4,4,4 days by 17h00,,Economy,4,O,Economy-O4,5 days by 17h00,ECO-O4,5,5 days by 17h00
,,,,,DUR-GBE,6,,Economy,ECO,Regional Bi-weekly,5,Regional Bi-weekly,EconomyRegional Bi-weekly5,5,5 days by 17h00,,Economy,5,O,Economy-O5,5 days by 17h00,ECO-O5,5,5 days by 17h00
,,,,,DUR-GRJ,6,,Economy,ECO,Regional Bi-weekly,6,Regional Bi-weekly,EconomyRegional Bi-weekly6,5,5 days by 17h00,,Economy,6,O,Economy-O6,5 days by 17h00,ECO-O6,5,5 days by 17h00
,,,,,DUR-JNB,2,,Economy,ECO,Regional Bi-weekly,7,Regional Bi-weekly,EconomyRegional Bi-weekly7,5,5 days by 17h00,,Economy,7,O,Economy-O7,5 days by 17h00,ECO-O7,5,5 days by 17h00
,,,,,DUR-KIM,4,,Economy,ECO,Regional Bi-weekly,8,Regional Bi-weekly,EconomyRegional Bi-weekly8,6,6 days by 17h00,,Economy,8,O,Economy-O8,6 days by 17h00,ECO-O8,6,6 days by 17h00
,,,,,DUR-KPR,4,,Economy,ECO,Regional Bi-weekly,9,Regional Bi-weekly,EconomyRegional Bi-weekly9,6,6 days by 17h00,,Economy,9,O,Economy-O9,6 days by 17h00,ECO-O9,6,6 days by 17h00
,,,,,DUR-MBE,5,,Express,ONX,Branch,1,Branch,ExpressBranch1,1,1 days by 12h30,,,,,,,,,
,,,,,DUR-MSU,4,,Express,ONX,Branch,2,Branch,ExpressBranch2,2,2 days by 12h30,,,,,,,,,
,,,,,DUR-MTS,5,,Express,ONX,Branch,3,Branch,ExpressBranch3,2,2 days by 12h30,,,,,,,,,
,,,,,DUR-NCS,2,,Express,ONX,Branch,4,Branch,ExpressBranch4,2,2 days by 12h30,,,,,,,,,
,,,,,DUR-NLP,4,,Express,ONX,Branch,5,Branch,ExpressBranch5,2,2 days by 12h30,,,,,,,,,
,,,,,DUR-PLZ,6,,Express,ONX,Branch,6,Branch,ExpressBranch6,2,2 days by 12h30,,,,,,,,,
,,,,,DUR-PTA,2,,Express,ONX,Branch,7,Branch,ExpressBranch7,2,2 days by 12h30,,,,,,,,,
,,,,,DUR-PTG,4,,Express,ONX,Branch,8,Branch,ExpressBranch8,2,2 days by 12h30,,,,,,,,,
,,,,,DUR-PZB,1,,Express,ONX,Branch,9,Branch,ExpressBranch9,2,2 days by 12h30,,,,,,,,,
,,,,,DUR-VDB,4,,Express,ONX,Hub,1,Hub,ExpressHub1,1,1 days by 10h30,,,,,,,,,
,,,,,DUR-WDH,9,,Express,ONX,Hub,2,Hub,ExpressHub2,1,1 days by 10h30,,,,,,,,,
,,,,,DUR-WIR,4,,Express,ONX,Hub,3,Hub,ExpressHub3,1,1 days by 10h30,,,,,,,,,
,,,,,ELS-BFN,4,,Express,ONX,Hub,4,Hub,ExpressHub4,1,1 days by 10h30,,,,,,,,,
,,,,,ELS-CPT,5,,Express,ONX,Hub,5,Hub,ExpressHub5,1,1 days by 10h30,,,,,,,,,
,,,,,ELS-DUR,5,,Express,ONX,Hub,6,Hub,ExpressHub6,1,1 days by 10h30,,,,,,,,,
,,,,,ELS-ELS,1,,Express,ONX,Hub,7,Hub,ExpressHub7,1,1 days by 10h30,,,,,,,,,
,,,,,ELS-EMG,6,,Express,ONX,Hub,8,Hub,ExpressHub8,2,2 days by 10h30,,,,,,,,,
,,,,,ELS-GBE,6,,Express,ONX,Hub,9,Hub,ExpressHub9,2,2 days by 10h30,,,,,,,,,
,,,,,ELS-GRJ,4,,Express,ONX,Outlying Adhoc,1,Outlying Adhoc,ExpressOutlying Adhoc1,6,6 days by 17h00,,,,,,,,,
,,,,,ELS-JNB,6,,Express,ONX,Outlying Adhoc,2,Outlying Adhoc,ExpressOutlying Adhoc2,6,6 days by 17h00,,,,,,,,,
,,,,,ELS-KIM,6,,Express,ONX,Outlying Adhoc,3,Outlying Adhoc,ExpressOutlying Adhoc3,6,6 days by 17h00,,,,,,,,,
,,,,,ELS-KPR,7,,Express,ONX,Outlying Adhoc,4,Outlying Adhoc,ExpressOutlying Adhoc4,6,6 days by 17h00,,,,,,,,,
,,,,,ELS-MBE,7,,Express,ONX,Outlying Adhoc,5,Outlying Adhoc,ExpressOutlying Adhoc5,6,6 days by 17h00,,,,,,,,,
