town_code,tariff_hub,ops_branch,town_name,province,town_type,town_type_abbr,remote_km,servicing_town,service_code,location,sla_facility,zone
ARI,KIM,UTN,ARIAMSVLEI,Northern Cape,Outlying,O,248,KAA,OR,LOC,Outlying Adhoc,5
AIG,VDB,BEM,ARLINGTON,Free State,Outlying,O,87,SEN,OR,LOC,Outlying Bi-weekly,2
RTK,WIR,WIR,ARNOT,Mpumalanga,Outlying,O,56,HDN,OR,LOC,Outlying Bi-weekly,3
AST,CPT,CPT,ASHTON,Western Cape,Outlying,O,36,ROR,OR,LOC,Outlying Bi-weekly,5
ASK,ELS,BFN,ASKEATON,Eastern Cape,Outlying,O,124,QQD,OR,LOC,Outlying Adhoc,8
AKR,GRJ,GRJ,ASKRAAL,Western Cape,Outlying,O,86,RDS,OR,LOC,Outlying Adhoc,5
ASG,PLZ,PLZ,ASSEGAAIBOS,Western Cape,Outlying,O,98,HDR,OR,LOC,Outlying Adhoc,5
ASN,PTA,RTR,ASSEN,North West,Outlying,O,95,NRR,OR,LOC,Outlying Adhoc,3
ABY,PLZ,PLZ,ASTON BAY,Eastern Cape,Outlying,O,10,JBY,OR,LOC,Outlying Bi-weekly,4
ATL,PTA,RTR,ATLANTA,North West,Outlying,O,103,NRR,OR,LOC,Outlying Adhoc,3
ALS,CPT,CPT,ATLANTIS,Western Cape,Regional,R,NULL,CPT,RM,LOC,Regional Daily,2
ATT,PTA,JNB,ATTERIDGEVILLE,Gauteng,Main (Suburb),S,NULL,PTA,SM,LOC,Hub,1
AUG,KIM,UTN,AUGRABIES,Northern Cape,Outlying,O,49,KAA,OR,LOC,Outlying Bi-weekly,4
AUA,CPT,VDR,AURORA,Western Cape,Outlying,O,68,VLF,OR,LOC,Outlying Adhoc,2
APT,BFN,BFN,AUSTINS POST,Free State,Outlying,O,129,PSG,OR,LOC,Outlying Adhoc,3
AVC,NLP,NLP,AVOCA,Mpumalanga,Outlying,O,52,BNR,OR,LOC,Outlying Adhoc,2
AVR,CPT,CPT,AVONDRUST,Western Cape,Outlying,O,184,WOR,OR,LOC,Outlying Adhoc,6
AUU,GRJ,GRJ,AVONTUUR,Western Cape,Outlying,O,146,KYL,OR,LOC,Outlying Bi-weekly,4
BAA,CPT,CPT,BAARDSKEERDERSBOS,Western Cape,Outlying,O,107,BDD,OR,LOC,Outlying Bi-weekly,5
BBN,EMG,EMG,BABANANGO,KwaZulu-Natal,Outlying,O,96,ULD,OR,LOC,Outlying Adhoc,4
BBG,PTA,JNB,BABELEGI,North West,Regional,R,NULL,PTA,RM,LOC,Regional Bi-weekly,3
BAP,NLP,NLP,BADPLAAS,Mpumalanga,Outlying,O,135,BNR,OR,LOC,Outlying Bi-weekly,4
BLY,ELS,BFN,BAILEY,Eastern Cape,Outlying,O,41,QTN,OR,LOC,Outlying Adhoc,8
BLL,KPR,RTR,BAKERVILLE,North West,Outlying,O,42,LTX,OR,LOC,Outlying Adhoc,5
BOR,VDB,JNB,BALFOUR,Mpumalanga,Regional,R,NULL,VDB,RM,LOC,Regional Daily,4
BGN,PZB,DUR,BALGOWAN,KwaZulu-Natal,Outlying,O,47,HWR,OS,LOC,Outlying Bi-weekly,4
BBY,DUR,DUR,BALLITO,KwaZulu-Natal,Regional,R,NULL,DUR,RM,LOC,Regional Daily,2
BMR,WIR,WIR,BALMORAL,Mpumalanga,Outlying,O,44,CWL,OR,LOC,Outlying Adhoc,1
BLA,PTG,PTG,BALTIMORE,Limpopo,Outlying,O,200,BOC,OR,LOC,Outlying Bi-weekly,5
BDX,PTG,PTG,BANDELIERKOP,Limpopo,Outlying,O,67,LTT,OR,LOC,Outlying Adhoc,3
BAU,PTG,PTG,BANDUR,Limpopo,Outlying,O,136,MES,OR,LOC,Outlying Adhoc,5
BKP,WIR,NCS,BANKKOP,Mpumalanga,Outlying,O,55,EML,OR,LOC,Outlying Adhoc,5
BRK,PLZ,CDO,BARAKKE,Eastern Cape,Outlying,O,97,GRT,OR,LOC,Outlying Adhoc,4
BBP,KPR,KPR,BARBERSPAN,North West,Outlying,O,32,DLV,OR,LOC,Outlying Adhoc,5
BNR,NLP,NLP,BARBERTON,Mpumalanga,Regional,R,NULL,NLP,RM,LOC,Regional Daily,2
BYE,ELS,BFN,BARKLY EAST,Eastern Cape,Outlying,O,233,AWL,OR,LOC,Outlying Bi-weekly,8
BPS,ELS,BFN,BARKLY PASS,Eastern Cape,Outlying,O,276,QQD,OR,LOC,Outlying Adhoc,8
BKY,KIM,KIM,BARKLY WEST,Northern Cape,Regional,R,NULL,KIM,RM,LOC,Regional Daily,2
BDA,PLZ,CDO,BARODA,Eastern Cape,Outlying,O,48,CDO,OR,LOC,Outlying Adhoc,1
BAO,PLZ,PLZ,BAROE,Eastern Cape,Outlying,O,179,KKD,OR,LOC,Outlying Adhoc,4
BAN,GRJ,GRJ,BARRINGTON,Western Cape,Outlying,O,46,SGF,OR,LOC,Outlying Adhoc,2
BDL,GRJ,GRJ,BARRYDALE,Western Cape,Outlying,O,92,SWD,OR,LOC,Outlying Bi-weekly,6
BVL,NLP,NLP,BARVALE,Mpumalanga,Outlying,O,46,BRL,OR,LOC,Outlying Bi-weekly,1
BXS,ELS,ELS,BASHEE BRIDGE,Eastern Cape,Outlying,O,110,UTT,OR,LOC,Outlying Adhoc,2
BUS,PLZ,PLZ,BATHURST,Eastern Cape,Outlying,O,30,PAF,OR,LOC,Outlying Bi-weekly,4
BVN,GRJ,CPT,BAVIAAN,Western Cape,Outlying,O,215,LAI,OR,LOC,Outlying Adhoc,7
BCB,ELS,ELS,BEACON BAY,Eastern Cape,Main (Suburb),S,NULL,ELS,SM,LOC,Hub,1
BFU,GRJ,GRJ,BEAUFORT WEST,Western Cape,Regional,R,NULL,GRJ,RM,LOC,Regional Daily,6
BED,PLZ,CDO,BEDFORD,Eastern Cape,Outlying,O,112,SEO,OR,LOC,Outlying Bi-weekly,3
BEE,PTA,RTR,BEESTEKRAAL,North West,Outlying,O,79,BTR,OR,LOC,Outlying Adhoc,2
BEH,PLZ,CDO,BEHULPSAAM,Eastern Cape,Outlying,O,75,GRT,OR,LOC,Outlying Adhoc,4
BBQ,PTG,PTG,BEITBRIDGE,Limpopo,Outlying,O,30,MES,OR,LOC,Outlying Bi-weekly,6
BEK,KIM,KIM,BEKKER,Northern Cape,Outlying,O,84,KUR,OR,LOC,Outlying Adhoc,5
WSR,PTA,JNB,BELA-BELA,Limpopo,Regional,R,NULL,PTA,RM,LOC,Regional Daily,4
BFZ,WIR,WIR,BELFAST,Mpumalanga,Outlying,O,134,MDR,OR,LOC,Outlying Bi-weekly,4
BEL,ELS,ELS,BELL,Eastern Cape,Outlying,O,113,KWT,OR,LOC,Outlying Adhoc,3
BLV,PLZ,PLZ,BELLEVUE,Eastern Cape,Outlying,O,90,ADO,OR,LOC,Outlying Adhoc,4
VLL,CPT,CPT,BELLVILLE,Western Cape,Main (Suburb),S,NULL,CPT,SM,LOC,Hub,1
BLT,KIM,KIM,BELMONT,Northern Cape,Outlying,O,73,HPT,OR,LOC,Outlying Adhoc,3
BNI,JNB,JNB,BENONI,Gauteng,Main (Suburb),S,NULL,JNB,SM,LOC,Hub,1
BCE,NCS,NCS,BERBICE,Mpumalanga,Outlying,O,94,PFR,OR,LOC,Outlying Adhoc,5
BEN,NCS,NCS,BERGEN,Mpumalanga,Outlying,O,69,VRR,OR,LOC,Outlying Adhoc,3
BGR,CPT,VDR,BERGRIVIER,Western Cape,Outlying,O,49,VLF,OR,LOC,Outlying Adhoc,2
BRG,NCS,NCS,BERGVILLE,KwaZulu-Natal,Regional,R,NULL,NCS,RM,LOC,Regional Daily,5
BLN,ELS,ELS,BERLIN,Eastern Cape,Outlying,O,30,BRB,OR,LOC,Outlying Bi-weekly,2
BML,KIM,KIM,BERMOLLI,Northern Cape,Outlying,O,71,PMG,OR,LOC,Outlying Adhoc,6
BZT,NCS,NCS,BESTERS,KwaZulu-Natal,Outlying,O,55,LAY,OR,LOC,Outlying Adhoc,4
BXL,WIR,WIR,BETHAL,Mpumalanga,Regional,R,NULL,WIR,RM,LOC,Regional Daily,3
BHD,PLZ,PLZ,BETHELSDORP,Eastern Cape,Main (Suburb),S,NULL,PLZ,SM,LOC,Hub,1
BET,PLZ,CDO,BETHESDAWEG,Eastern Cape,Outlying,O,97,GRT,OR,LOC,Outlying Adhoc,4
BEM,VDB,BEM,BETHLEHEM,Free State,Regional,R,NULL,VDB,RM,LOC,Regional Daily,1
BSN,BFN,BFN,BETHULIE,Free State,Outlying,O,180,AWL,OR,LOC,Outlying Bi-weekly,5
BIM,WIR,NCS,BETTIESDAM,Mpumalanga,Outlying,O,59,SNR,OR,LOC,Outlying Adhoc,5
BEB,CPT,CPT,BETTYS BAY,Western Cape,Outlying,O,72,GDB,OS,LOC,Outlying Bi-weekly,3
BWY,KPR,RTR,BEWLEY,North West,Outlying,O,76,MEI,OR,LOC,Outlying Adhoc,5
BYA,MBE,MBE,BHUNYA,NULL,Regional,R,NULL,MBE,RM,BLNS,Regional Daily,10
BSF,CPT,VDR,BIESIESFONTEIN,Western Cape,Outlying,O,212,VRE,OR,LOC,Outlying Adhoc,9
BSP,GRJ,CDO,BIESIESPOORT,Northern Cape,Outlying,O,203,BFU,OR,LOC,Outlying Adhoc,8
BSV,KPR,KPR,BIESIESVLEI,North West,Outlying,O,78,LTX,OR,LOC,Outlying Bi-weekly,4
BBD,MBE,MBE,BIG BEND,NULL,Regional,R,NULL,MBE,RM,BLNS,Regional Daily,10
BGG,NCS,NCS,BIGGARSBERG,KwaZulu-Natal,Outlying,O,76,DNE,OR,LOC,Outlying Adhoc,2
BIS,ELS,ELS,BISHO,Eastern Cape,Regional,R,NULL,ELS,RM,LOC,Regional Daily,3
BSI,PZB,PSH,BISI,Eastern Cape,Outlying,O,86,IXO,OR,LOC,Outlying Adhoc,4
BYI,ELS,ELS,BITYI,Eastern Cape,Outlying,O,78,UTT,OR,LOC,Outlying Adhoc,2
BIN,NCS,NCS,BIVANE,KwaZulu-Natal,Outlying,O,29,PPB,OR,LOC,Outlying Adhoc,4
BZN,PZB,PSH,BIZANA,Eastern Cape,Outlying,O,118,FLG,OR,LOC,Outlying Bi-weekly,3
BLD,KIM,UTN,BLADGROND,Northern Cape,Outlying,O,143,KAA,OR,LOC,Outlying Adhoc,5
BLB,KPR,RTR,BLAIRBETH,North West,Outlying,O,55,ZST,OR,LOC,Outlying Adhoc,5
BLS,KIM,KIM,BLESMANSPOS,Northern Cape,Outlying,O,151,JKP,OR,LOC,Outlying Adhoc,5
BLI,KIM,KIM,BLIKFONTEIN,Northern Cape,Outlying,O,141,KUR,OR,LOC,Outlying Adhoc,5
BPZ,WIR,WIR,BLINKPAN,Mpumalanga,Outlying,O,61,HDN,OR,LOC,Outlying Bi-weekly,2
BLP,ELS,CDO,BLINKWATER (EC),Eastern Cape,Outlying,O,182,GHO,OR,LOC,Outlying Adhoc,5
BLW,WIR,WIR,BLINKWATER (MP),Mpumalanga,Outlying,O,124,DLR,OR,LOC,Outlying Adhoc,3
BFN,BFN,BFN,BLOEMFONTEIN,Free State,Main,M,NULL,BFN,MM,LOC,Hub,1
BLH,CPT,UTN,BLOEMHOEK,Northern Cape,Outlying,O,244,SPU,OR,LOC,Outlying Adhoc,7
BHR,KPR,BFN,BLOEMHOF,North West,Outlying,O,82,HST,OR,LOC,Outlying Bi-weekly,6
BDR,NCS,NCS,BLOOD RIVER,KwaZulu-Natal,Outlying,O,57,VYD,OR,LOC,Outlying Adhoc,3
BLO,BFN,BFN,BLOUDRIF,Free State,Outlying,O,35,VGA,OR,LOC,Outlying Adhoc,4
BHA,PTG,PTG,BLOUHAAK,Limpopo,Outlying,O,72,BOC,OR,LOC,Outlying Adhoc,3
BCC,PLZ,PLZ,BLUECLIFF,Eastern Cape,Outlying,O,28,KKD,OR,LOC,Outlying Adhoc,2
BGU,BFN,BFN,BLUEGUMS,Eastern Cape,Outlying,O,139,AWL,OR,LOC,Outlying Adhoc,6
BWO,CPT,CPT,BO-WADRIF,Western Cape,Outlying,O,324,CER,OR,LOC,Outlying Adhoc,7
BOC,PTG,PTG,BOCHUM,Limpopo,Regional,R,NULL,PTG,RM,LOC,Regional Bi-weekly,3
BDS,KPR,KPR,BODENSTEIN,North West,Outlying,O,33,COL,OR,LOC,Outlying Adhoc,3
BGB,KIM,UTN,BOEGOEBERG,Northern Cape,Outlying,O,251,UTN,OR,LOC,Outlying Adhoc,4
BOO,CPT,CPT,BOERBOONFONTEIN,Western Cape,Outlying,O,171,SWD,OR,LOC,Outlying Adhoc,6
BMN,BFN,BFN,BOESMANSKOP,Free State,Outlying,O,186,AWL,OR,LOC,Outlying Bi-weekly,5
BMM,PLZ,PLZ,BOESMANSRIVIERMOND,Eastern Cape,Outlying,O,56,PAF,OR,LOC,Outlying Bi-weekly,4
BTP,KIM,KIM,BOETSAP,Northern Cape,Outlying,O,110,WAR,OR,LOC,Outlying Adhoc,4
BOH,VDB,BEM,BOHLOKONG,Free State,Regional,R,NULL,VDB,RM,LOC,Regional Daily,1
BKF,CPT,CPT,BOKFONTEIN,Western Cape,Outlying,O,92,CTS,OR,LOC,Outlying Adhoc,5
BKS,PLZ,PLZ,BOKNESSTRAND,Eastern Cape,Outlying,O,77,PAF,OR,LOC,Outlying Bi-weekly,4
BKB,JNB,JNB,BOKSBURG,Gauteng,Main (Suburb),S,NULL,JNB,SM,LOC,Hub,1
BLE,ELS,ELS,BOLO,Eastern Cape,Outlying,O,131,BIS,OR,LOC,Outlying Adhoc,4
BOA,ELS,ELS,BOLOTWA,Eastern Cape,Outlying,O,72,QTN,OR,LOC,Outlying Adhoc,6
BNK,CPT,CPT,BONEKRAAL,Northern Cape,Outlying,O,470,BFU,OR,LOC,Outlying Adhoc,8
BOV,CPT,CPT,BONNIEVALE,Western Cape,Outlying,O,61,ROR,OR,LOC,Outlying Bi-weekly,5
BNY,PZB,PSH,BONNY RIDGE,KwaZulu-Natal,Outlying,O,44,KDX,OR,LOC,Outlying Adhoc,5
BTD,PZB,PSH,BONTRAND,KwaZulu-Natal,Outlying,O,114,IXO,OR,LOC,Outlying Adhoc,4
BNS,JNB,RTR,BOONS,North West,Outlying,O,86,RTR,OR,LOC,Outlying Bi-weekly,2
BCH,PTG,PTG,BORCHERS,Limpopo,Outlying,O,75,LTT,OR,LOC,Outlying Adhoc,4
BOS,NLP,NLP,BOSBOKRAND,Limpopo,Regional,R,NULL,NLP,RM,LOC,Regional Daily,3
BHK,PTA,RTR,BOSHOEK,North West,Outlying,O,49,RTR,OR,LOC,Outlying Bi-weekly,5
BHF,KIM,KIM,BOSHOF,Free State,Outlying,O,107,KIM,OM,LOC,Outlying Bi-weekly,2
BOX,KPR,KPR,BOSKUIL,North West,Outlying,O,66,WMD,OR,LOC,Outlying Adhoc,4
BPT,KPR,KPR,BOSPOORT,North West,Outlying,O,62,OTD,OR,LOC,Outlying Adhoc,3
BSK,KIM,UTN,BOSSIEKOM,Northern Cape,Outlying,O,196,KAA,OR,LOC,Outlying Adhoc,5
BSS,PTA,RTR,BOSSPRUIT,North West,Outlying,O,40,RTR,OR,LOC,Outlying Adhoc,1
BHV,KPR,KPR,BOTHAVILLE,Free State,Regional,R,NULL,KPR,RM,LOC,Regional Daily,3
BTK,PTG,PTG,BOTLOKWA,Limpopo,Outlying,O,52,BOC,OR,LOC,Outlying Bi-weekly,4
BTS,CPT,CPT,BOTRIVIER,Western Cape,Outlying,O,45,GRB,OR,LOC,Outlying Bi-weekly,3
BSB,BFN,BFN,BOTSHABELO,Free State,Regional,R,NULL,BFN,RM,LOC,Regional Daily,2
OBW,GBE,GBE,BOTSWANA OTHER,NULL,Outlying,O,200,GBE,OM,BLNS,Outlying Adhoc,10
BWP,ELS,CDO,BOWKERS PARK,Eastern Cape,Outlying,O,26,QTN,OR,LOC,Outlying Adhoc,4
BNF,CPT,CPT,BRACKENFELL,Western Cape,Main (Suburb),S,NULL,CPT,SM,LOC,Hub,1
BMA,DUR,PSH,BRAEMAR,KwaZulu-Natal,Outlying,O,56,MAR,OR,LOC,Outlying Bi-weekly,4
BPN,JNB,JNB,BRAKPAN,Gauteng,Main (Suburb),S,NULL,JNB,SM,LOC,Hub,1
BKT,KIM,GRJ,BRAKPOORT,Northern Cape,Outlying,O,221,DER,OR,LOC,Outlying Adhoc,8
BSG,KPR,KPR,BRAKSPRUIT,North West,Outlying,O,44,HBR,OR,LOC,Outlying Bi-weekly,1
BRD,NLP,NLP,BRANDDRAAI,Mpumalanga,Outlying,O,92,BGF,OR,LOC,Outlying Adhoc,5
BDT,BFN,BFN,BRANDFORT,Free State,Regional,R,NULL,BFN,RM,LOC,Regional Bi-weekly,2
BRR,GRJ,GRJ,BRANDRIVIER,Western Cape,Outlying,O,93,RDS,OR,LOC,Outlying Adhoc,5
BDV,KIM,UTN,BRANDVLEI,Northern Cape,Outlying,O,466,KAA,OR,LOC,Outlying Bi-weekly,7
BRS,ELS,ELS,BRAUNSCHWEIG,Eastern Cape,Outlying,O,25,KWT,OR,LOC,Outlying Adhoc,3
BRV,ELS,BFN,BRAUNVILLE,Eastern Cape,Outlying,O,42,QQD,OR,LOC,Outlying Adhoc,8
BRY,KPR,KPR,BRAY,North West,Outlying,O,419,VRU,OR,LOC,Outlying Adhoc,8
BFV,ELS,ELS,BREAKFAST VLEI,Eastern Cape,Outlying,O,109,GHO,OR,LOC,Outlying Adhoc,4
BDD,CPT,CPT,BREDASDORP,Western Cape,Regional,R,NULL,CPT,RM,LOC,Regional Daily,5
BRB,ELS,ELS,BREIDBACH,Eastern Cape,Regional,R,NULL,ELS,RM,LOC,Regional Daily,2
BRP,BFN,BFN,BREIPAAL,Free State,Outlying,O,197,AWL,OR,LOC,Outlying Adhoc,4
BNN,WIR,WIR,BREYTEN,Mpumalanga,Outlying,O,59,EML,OR,LOC,Outlying Bi-weekly,4
BGW,PTG,PTG,BRIDGEWATER,Limpopo,Outlying,O,187,MES,OR,LOC,Outlying Adhoc,5
BTR,PTA,JNB,BRITS,North West,Regional,R,NULL,PTA,RM,LOC,Regional Daily,3
BSW,KIM,KIM,BRITSTOWN,Northern Cape,Outlying,O,106,DER,OR,LOC,Outlying Bi-weekly,7
BRT,KIM,KIM,BRITTEN,North West,Outlying,O,55,CSN,OR,LOC,Outlying Adhoc,5
BRO,KPR,KPR,BROEDERSPUT,North West,Outlying,O,81,DLV,OR,LOC,Outlying Adhoc,5
BBK,PTG,PTG,BROMBEEK,Limpopo,Outlying,O,168,MES,OR,LOC,Outlying Adhoc,5
BRL,NLP,NLP,BRONDAL,Mpumalanga,Regional,R,NULL,NLP,RM,LOC,Regional Bi-weekly,1
BHS,WIR,JNB,BRONKHORSTSPRUIT,Gauteng,Main (Suburb),S,NULL,WIR,SM,LOC,Hub,3
BON,PZB,PSH,BROOKS NEK,Eastern Cape,Outlying,O,38,KDX,OR,LOC,Outlying Adhoc,4
BJH,PLZ,CDO,BRUINTIESHOOGTE,Eastern Cape,Outlying,O,50,SEO,OR,LOC,Outlying Adhoc,3
BDU,KIM,KIM,BUCKLANDS,Northern Cape,Outlying,O,25,DLS,OR,LOC,Outlying Adhoc,4
BFF,GRJ,GRJ,BUFFELSDRIF,Western Cape,Outlying,O,118,GRJ,OM,LOC,Outlying Adhoc,3
BVV,KPR,KPR,BUFFELSVLEI,Limpopo,Outlying,O,41,PCM,OR,LOC,Outlying Bi-weekly,3
BRF,KPR,KPR,BUHRMANDRIFT,North West,Outlying,O,31,MEI,OR,LOC,Outlying Bi-weekly,5
BUL,KIM,KIM,BULL HILL,Northern Cape,Outlying,O,50,WAR,OR,LOC,Outlying Adhoc,4
BPL,CPT,UTN,BULLETRAP,Northern Cape,Outlying,O,62,SPU,OR,LOC,Outlying Adhoc,9
BTN,BFN,BFN,BULTFONTEIN,Free State,Regional,R,NULL,BFN,RM,LOC,Regional Daily,4
BUW,PZB,DUR,BULWER,KwaZulu-Natal,Outlying,O,75,UBR,OR,LOC,Outlying Bi-weekly,5
BTV,ELS,ELS,BUNTINGVILLE,Eastern Cape,Outlying,O,25,UTT,OR,LOC,Outlying Adhoc,1
BUP,BFN,BFN,BURGERSDORP,Eastern Cape,Outlying,O,112,AWL,OR,LOC,Outlying Bi-weekly,7
BGF,NLP,NLP,BURGERSFORT,Mpumalanga,Regional,R,NULL,NLP,RM,LOC,Regional Daily,5
BHP,JNB,JNB,BURGERSHOOP,Gauteng,Outlying,O,31,RDP,OS,LOC,Outlying Adhoc,2
BVR,KIM,CDO,BURGERVILLE,Northern Cape,Outlying,O,70,DER,OR,LOC,Outlying Adhoc,6
BOS,NLP,NLP,BUSHBUCKRIDGE,Limpopo,Regional,R,NULL,NLP,RM,LOC,Regional Daily,4
BMM,PLZ,PLZ,BUSHMANS RIVER MOUTH,Eastern Cape,Outlying,O,56,PAF,OR,LOC,Outlying Bi-weekly,4
BBE,MSU,MSU,BUTHE BUTHE,NULL,Outlying,O,216,MSU,OM,BLNS,Outlying Adhoc,10
BWH,ELS,ELS,BUTTERWORTH,Eastern Cape,Regional,R,NULL,ELS,RM,LOC,Regional Daily,4
BYY,PTG,PTG,BUYSDORP,Limpopo,Outlying,O,97,BOC,OR,LOC,Outlying Adhoc,4
BYS,PTG,PTG,BYLSTEEL,Limpopo,Outlying,O,79,PTG,OM,LOC,Outlying Adhoc,2
CAA,ELS,ELS,CALA,Eastern Cape,Outlying,O,179,QQD,OR,LOC,Outlying Bi-weekly,4
CLR,ELS,BFN,CALA ROAD,Eastern Cape,Outlying,O,213,QQD,OR,LOC,Outlying Adhoc,8
CLN,CPT,CPT,CALEDON,Western Cape,Regional,R,NULL,CPT,RM,LOC,Regional Daily,4
CZR,GRJ,GRJ,CALITZDORP,Western Cape,Outlying,O,98,LAI,OR,LOC,Outlying Bi-weekly,4
CAL,NCS,NCS,CALVERT,KwaZulu-Natal,Outlying,O,57,VYD,OR,LOC,Outlying Adhoc,4
CLW,CPT,UTN,CALVINIA,Northern Cape,Outlying,O,287,VRE,OR,LOC,Outlying Bi-weekly,9
CAM,PLZ,PLZ,CAMBRIA,Eastern Cape,Outlying,O,78,PTI,OR,LOC,Outlying Adhoc,5
CMG,PLZ,CDO,CAMERONS GLEN,Eastern Cape,Outlying,O,157,SEO,OR,LOC,Outlying Adhoc,3
CBL,KIM,KIM,CAMPBELL,Northern Cape,Outlying,O,61,DLS,OR,LOC,Outlying Adhoc,4
CAO,EMG,EMG,CANDOVER,KwaZulu-Natal,Outlying,O,54,JOZ,OR,LOC,Outlying Adhoc,5
CSF,PLZ,PLZ,CAPE ST FRANCIS,Eastern Cape,Outlying,O,47,HDR,OR,LOC,Outlying Adhoc,4
CPT,CPT,CPT,CAPE TOWN,Western Cape,Main,M,NULL,CPT,MM,LOC,Hub,1
CAR,VDB,JNB,CARLETONVILLE,Gauteng,Regional,R,NULL,VDB,RM,LOC,Regional Daily,4
CBE,PLZ,CDO,CARLISLE BRIDGE,Eastern Cape,Outlying,O,84,GHO,OR,LOC,Outlying Adhoc,4
CRS,KPR,RTR,CARLSONIA,North West,Outlying,O,49,LTX,OR,LOC,Outlying Adhoc,4
CAN,BFN,CDO,CARLTON,Eastern Cape,Outlying,O,247,CDO,OR,LOC,Outlying Adhoc,4
CVN,KIM,UTN,CARNARVON,Northern Cape,Outlying,O,338,PRK,OR,LOC,Outlying Bi-weekly,8
CLA,WIR,WIR,CAROLINA,Mpumalanga,Outlying,O,87,HDN,OR,LOC,Outlying Bi-weekly,4
CHC,ELS,ELS,CATHCART,Eastern Cape,Outlying,O,118,QTN,OR,LOC,Outlying Bi-weekly,4
CTP,PZB,NCS,CATHEDRAL PEAK,KwaZulu-Natal,Outlying,O,83,BRG,OR,LOC,Outlying Adhoc,5
CKP,PZB,DUR,CATHKIN PARK,KwaZulu-Natal,Outlying,O,82,BRG,OR,LOC,Outlying Adhoc,7
CED,PZB,PSH,CEDARVILLE,KwaZulu-Natal,Outlying,O,48,MTL,OR,LOC,Outlying Bi-weekly,5
SED,CPT,CPT,CEDERBERG,Western Cape,Outlying,O,114,CWM,OR,LOC,Outlying Adhoc,7
CNT,JNB,JNB,CENTURION,Gauteng,Main (Suburb),S,NULL,JNB,SM,LOC,Hub,1
CER,CPT,CPT,CERES,Western Cape,Regional,R,NULL,CPT,RM,LOC,Regional Daily,4
CHM,ELS,ELS,CHALUMNA,Eastern Cape,Outlying,O,83,ELS,OM,LOC,Outlying Adhoc,2
CHH,PZB,NCS,CHAMPAGNE CASTLE-DRAK RESORTS,KwaZulu-Natal,Outlying,O,57,WNO,OR,LOC,Outlying Adhoc,5
CCI,WIR,WIR,CHARL CILLIERS,Mpumalanga,Outlying,O,45,SEC,OR,LOC,Outlying Adhoc,4
CTW,DUR,DUR,CHATSWORTH,KwaZulu-Natal,Main (Suburb),S,NULL,DUR,SM,LOC,Hub,2
CSS,WIR,WIR,CHRISSIESMEER,Mpumalanga,Outlying,O,74,EML,OR,LOC,Outlying Bi-weekly,4
CSN,KIM,KIM,CHRISTIANA,North West,Regional,R,NULL,KIM,RM,LOC,Regional Daily,4
CUR,PTG,PTG,CHUNIESPOORT,Limpopo,Outlying,O,10,LEB,OR,LOC,Outlying Adhoc,3
CHN,CPT,VDR,CHURCHHAVEN,Western Cape,Outlying,O,65,LGN,OR,LOC,Outlying Adhoc,2
CIO,ELS,ELS,CIKO,Eastern Cape,Outlying,O,102,BWH,OR,LOC,Outlying Adhoc,4
CIA,ELS,ELS,CINTSA EAST,Eastern Cape,Outlying,O,59,BCB,OS,LOC,Outlying Adhoc,2
CTS,CPT,VDR,CITRUSDAL,Western Cape,Regional,R,NULL,CPT,RM,LOC,Regional Daily,4
CLL,BFN,BFN,CLANVILLE,Eastern Cape,Outlying,O,165,AWL,OR,LOC,Outlying Adhoc,7
CWM,CPT,VDR,CLANWILLIAM,Western Cape,Regional,R,NULL,CPT,RM,LOC,Regional Daily,5
CRN,VDB,BEM,CLARENS,Free State,Outlying,O,75,BEM,OR,LOC,Outlying Bi-weekly,2
CRY,ELS,ELS,CLARKEBURY,Eastern Cape,Outlying,O,148,UTT,OR,LOC,Outlying Bi-weekly,3
CLS,PLZ,PLZ,CLARKSON,Eastern Cape,Outlying,O,86,HDR,OR,LOC,Outlying Adhoc,5
CAV,JNB,JNB,CLAYVILLE,Gauteng,Main (Suburb),S,NULL,JNB,SM,LOC,Hub,1
CWL,WIR,WIR,CLEWER,Mpumalanga,Regional,R,NULL,WIR,RM,LOC,Regional Bi-weekly,1
CDF,ELS,BFN,CLIFFORD,Eastern Cape,Outlying,O,237,QQD,OR,LOC,Outlying Adhoc,8
CLC,BFN,BEM,CLOCOLAN,Free State,Regional,R,NULL,BFN,RM,LOC,Regional Daily,4
CLV,WIR,WIR,COALVILLE,Mpumalanga,Outlying,O,36,CWL,OR,LOC,Outlying Bi-weekly,2
COG,PLZ,PLZ,COEGA,Eastern Cape,Main (Suburb),S,NULL,PLZ,SM,LOC,Hub,1
COE,PLZ,PLZ,COERNEY,Eastern Cape,Outlying,O,26,ADO,OR,LOC,Outlying Adhoc,2
COZ,KIM,KPR,COETZERSDAM,North West,Outlying,O,109,VRU,OR,LOC,Outlying Adhoc,7
CFB,ELS,ELS,COFFEE BAY,Eastern Cape,Outlying,O,155,UTT,OR,LOC,Outlying Bi-weekly,4
CVB,ELS,ELS,COFIMVABA,Eastern Cape,Outlying,O,153,QTN,OR,LOC,Outlying Bi-weekly,5
CGL,ELS,ELS,COGHLAN,Eastern Cape,Outlying,O,117,UTT,OR,LOC,Outlying Adhoc,2
FAL,ELS,PLZ,COLCHESTER,Eastern Cape,Outlying,O,92,PAF,OR,LOC,Outlying Adhoc,1
