town_code,tariff_hub,ops_branch,town_name,province,town_type,town_type_abbr,remote_km,servicing_town,service_code,location,sla_facility,zone
PEL,KIM,UTN,PELLA,Northern Cape,Outlying,O,297,SPU,OR,LOC,Outlying Bi-weekly,2
PEG,PTG,NLP,PENGE,Limpopo,Outlying,O,84,BGF,OR,LOC,Outlying Bi-weekly,5
PPW,NCS,NCS,PEPWORTH,KwaZulu-Natal,Outlying,O,29,LAY,OR,LOC,Outlying Bi-weekly,4
PEK,NCS,NCS,PERDEKOP,Mpumalanga,Outlying,O,70,VRR,OR,LOC,Outlying Bi-weekly,3
PSS,VDB,BEM,PETRUS STEYN,Free State,Outlying,O,75,RTZ,OR,LOC,Outlying Bi-weekly,3
PSG,KIM,KIM,PETRUSBURG,Free State,Regional,R,NULL,KIM,RM,LOC,Regional Bi-weekly,3
PSV,KIM,KIM,PETRUSVILLE,Northern Cape,Outlying,O,168,HPT,OR,LOC,Outlying Bi-weekly,5
PHW,PTG,PTG,PHALABORWA,Limpopo,Regional,R,NULL,PTG,RM,LOC,Regional Daily,6
PLS,BFN,BFN,PHILIPPOLIS,Free State,Outlying,O,278,PSG,OR,LOC,Outlying Bi-weekly,5
PTN,KIM,KIM,PHILIPSTOWN,Northern Cape,Outlying,O,111,DER,OR,LOC,Outlying Bi-weekly,6
PHE,PTA,RTR,PHOKENG,North West,Outlying,O,28,RTR,OR,LOC,Outlying Bi-weekly,1
PHK,PTG,PTG,PHOKWANE,Limpopo,Outlying,O,42,JFH,OR,LOC,Outlying Adhoc,4
PJB,NCS,BEM,PHUTHADITJHABA,Free State,Regional,R,NULL,NCS,RM,LOC,Regional Daily,4
PVR,PTA,JNB,PIENAARSRIVIER,Limpopo,Outlying,O,41,BBG,OR,LOC,Outlying Bi-weekly,3
PPL,KPR,KPR,PIET PLESSIS,North West,Outlying,O,204,VRU,OR,LOC,Outlying Bi-weekly,7
